genre,danceability,energy,acousticness,instrumentalness,valence,speechiness,loudness,tempo
rock,0.754,0.583,0.32,0.00015,0.77,0.0432,-7.34,122.012
rock,0.682,0.6829999999999999,0.156,2.3199999999999998e-05,0.64,0.0287,-6.444,120.023
rock,0.56,0.9359999999999999,0.00847,0.0,0.371,0.0439,-5.835,112.96
rock,0.7759999999999999,0.78,0.0622,0.0,0.6659999999999999,0.128,-4.374,124.949
rock,0.35600000000000004,0.924,0.00101,0.0,0.23199999999999998,0.0808,-3.74,148.017
rock,0.605,0.8220000000000001,0.00671,0.134,0.28800000000000003,0.0438,-4.833,167.997
rock,0.828,0.49200000000000005,0.0644,0.00428,0.789,0.0276,-9.744,120.15100000000001
rock,0.392,0.402,0.28800000000000003,0.0,0.228,0.0536,-9.961,143.88299999999998
rock,0.6709999999999999,0.373,0.257,7.950000000000001e-05,0.732,0.0323,-18.064,92.71700000000001
rock,0.733,0.71,0.145,0.115,0.965,0.0292,-5.849,127.975
rock,0.7340000000000001,0.637,0.0462,2.2899999999999998e-05,0.648,0.141,-5.6770000000000005,169.977
rock,0.596,0.605,0.18100000000000002,0.000331,0.8859999999999999,0.0255,-12.145,97.79799999999999
rock,0.612,0.807,0.0495,0.0177,0.39799999999999996,0.0336,-2.81,124.053
rock,0.557,0.54,0.0339,0.00248,0.39399999999999996,0.0347,-10.484000000000002,129.171
rock,0.579,0.904,0.193,0.0,0.6809999999999999,0.0618,-2.7289999999999996,82.014
rock,0.563,0.865,0.0472,0.00019099999999999998,0.601,0.16,-5.277,156.27100000000002
rock,0.484,0.731,0.431,0.0,0.51,0.0379,-6.694,101.654
rock,0.64,0.6629999999999999,0.201,0.00806,0.6629999999999999,0.0374,-7.516,132.77
rock,0.414,0.161,0.883,0.000223,0.423,0.0318,-22.32,159.375
rock,0.579,0.508,0.0057399999999999994,0.0004940000000000001,0.609,0.027000000000000003,-9.484,147.125
rock,0.38799999999999996,0.33799999999999997,0.652,3.72e-06,0.47700000000000004,0.0328,-10.054,177.78400000000002
rock,0.505,0.71,0.19,0.00025,0.428,0.0321,-3.015,89.93799999999999
rock,0.623,0.449,0.212,0.0,0.5720000000000001,0.0253,-13.333,84.383
rock,0.491,0.583,0.182,0.0,0.907,0.0376,-10.964,150.572
rock,0.31,0.7,0.011000000000000001,0.00965,0.763,0.047,-5.678,188.386
rock,0.545,0.67,0.009000000000000001,0.000822,0.48100000000000004,0.0496,-8.81,151.553
rock,0.601,0.532,0.43200000000000005,6.25e-06,0.341,0.0286,-9.119,136.571
rock,0.596,0.44799999999999995,0.365,5.3e-06,0.7959999999999999,0.0396,-9.616,83.29299999999999
rock,0.611,0.797,0.00543,0.00137,0.518,0.0533,-7.627000000000001,120.041
rock,0.501,0.889,0.000147,0.0114,0.257,0.0364,-5.175,133.519
rock,0.414,0.428,0.382,0.00024300000000000002,0.282,0.0278,-11.097000000000001,145.075
rock,0.645,0.713,0.00835,0.0,0.5660000000000001,0.0393,-5.355,74.98899999999999
rock,0.732,0.396,0.0841,3.5799999999999996e-05,0.5479999999999999,0.0286,-9.347999999999999,90.024
rock,0.5,0.748,0.127,0.0,0.514,0.0363,-9.072000000000001,118.852
rock,0.377,0.682,0.0008939999999999999,0.00217,0.28800000000000003,0.0299,-8.039,108.736
rock,0.852,0.698,0.00839,1.03e-06,0.324,0.0629,-7.206,113.039
rock,0.7040000000000001,0.611,0.217,0.0,0.22,0.0409,-6.112,100.0
rock,0.573,0.9129999999999999,0.0591,0.00173,0.42200000000000004,0.132,-4.793,115.715
rock,0.537,0.66,0.455,0.0,0.574,0.0296,-7.1739999999999995,148.096
rock,0.737,0.46299999999999997,0.00817,0.447,0.324,0.0792,-7.827999999999999,123.881
rock,0.563,0.5920000000000001,0.209,5.08e-05,0.136,0.0276,-4.571000000000001,104.016
rock,0.44799999999999995,0.784,0.106,0.00010800000000000001,0.23600000000000002,0.0627,-3.6860000000000004,136.245
rock,0.763,0.807,0.0714,0.28,0.5589999999999999,0.035,-3.714,103.038
rock,0.446,0.9520000000000001,0.0901,0.0857,0.624,0.0523,-5.321000000000001,125.303
rock,0.575,0.67,0.34299999999999997,4.95e-06,0.74,0.0318,-10.39,139.191
rock,0.64,0.743,0.26899999999999996,0.0,0.361,0.0379,-4.08,122.035
rock,0.74,0.516,0.0183,0.0,0.698,0.0507,-6.233,139.918
rock,0.672,0.655,0.0362,0.0,0.556,0.0311,-5.021,134.945
rock,0.55,0.8240000000000001,0.44799999999999995,0.000127,0.777,0.0334,-5.9879999999999995,114.512
rock,0.635,0.675,0.0801,0.0,0.273,0.0263,-3.445,113.946
rock,0.682,0.6829999999999999,0.156,2.3199999999999998e-05,0.64,0.0287,-6.444,120.023
rock,0.56,0.9359999999999999,0.00847,0.0,0.371,0.0439,-5.835,112.96
rock,0.7759999999999999,0.78,0.0622,0.0,0.6659999999999999,0.128,-4.374,124.949
rock,0.35600000000000004,0.924,0.00101,0.0,0.23199999999999998,0.0808,-3.74,148.017
rock,0.605,0.8220000000000001,0.00671,0.134,0.28800000000000003,0.0438,-4.833,167.997
rock,0.828,0.49200000000000005,0.0644,0.00428,0.789,0.0276,-9.744,120.15100000000001
rock,0.392,0.402,0.28800000000000003,0.0,0.228,0.0536,-9.961,143.88299999999998
rock,0.6709999999999999,0.373,0.257,7.950000000000001e-05,0.732,0.0323,-18.064,92.71700000000001
rock,0.733,0.71,0.145,0.115,0.965,0.0292,-5.849,127.975
rock,0.7340000000000001,0.637,0.0462,2.2899999999999998e-05,0.648,0.141,-5.6770000000000005,169.977
rock,0.596,0.605,0.18100000000000002,0.000331,0.8859999999999999,0.0255,-12.145,97.79799999999999
rock,0.612,0.807,0.0495,0.0177,0.39799999999999996,0.0336,-2.81,124.053
rock,0.557,0.54,0.0339,0.00248,0.39399999999999996,0.0347,-10.484000000000002,129.171
rock,0.579,0.904,0.193,0.0,0.6809999999999999,0.0618,-2.7289999999999996,82.014
rock,0.563,0.865,0.0472,0.00019099999999999998,0.601,0.16,-5.277,156.27100000000002
rock,0.484,0.731,0.431,0.0,0.51,0.0379,-6.694,101.654
rock,0.64,0.6629999999999999,0.201,0.00806,0.6629999999999999,0.0374,-7.516,132.77
rock,0.414,0.161,0.883,0.000223,0.423,0.0318,-22.32,159.375
rock,0.579,0.508,0.0057399999999999994,0.0004940000000000001,0.609,0.027000000000000003,-9.484,147.125
rock,0.38799999999999996,0.33799999999999997,0.652,3.72e-06,0.47700000000000004,0.0328,-10.054,177.78400000000002
rock,0.505,0.71,0.19,0.00025,0.428,0.0321,-3.015,89.93799999999999
rock,0.623,0.449,0.212,0.0,0.5720000000000001,0.0253,-13.333,84.383
rock,0.491,0.583,0.182,0.0,0.907,0.0376,-10.964,150.572
rock,0.31,0.7,0.011000000000000001,0.00965,0.763,0.047,-5.678,188.386
rock,0.545,0.67,0.009000000000000001,0.000822,0.48100000000000004,0.0496,-8.81,151.553
rock,0.601,0.532,0.43200000000000005,6.25e-06,0.341,0.0286,-9.119,136.571
rock,0.596,0.44799999999999995,0.365,5.3e-06,0.7959999999999999,0.0396,-9.616,83.29299999999999
rock,0.611,0.797,0.00543,0.00137,0.518,0.0533,-7.627000000000001,120.041
rock,0.501,0.889,0.000147,0.0114,0.257,0.0364,-5.175,133.519
rock,0.414,0.428,0.382,0.00024300000000000002,0.282,0.0278,-11.097000000000001,145.075
rock,0.645,0.713,0.00835,0.0,0.5660000000000001,0.0393,-5.355,74.98899999999999
rock,0.732,0.396,0.0841,3.5799999999999996e-05,0.5479999999999999,0.0286,-9.347999999999999,90.024
rock,0.5,0.748,0.127,0.0,0.514,0.0363,-9.072000000000001,118.852
rock,0.377,0.682,0.0008939999999999999,0.00217,0.28800000000000003,0.0299,-8.039,108.736
rock,0.852,0.698,0.00839,1.03e-06,0.324,0.0629,-7.206,113.039
rock,0.7040000000000001,0.611,0.217,0.0,0.22,0.0409,-6.112,100.0
rock,0.573,0.9129999999999999,0.0591,0.00173,0.42200000000000004,0.132,-4.793,115.715
rock,0.537,0.66,0.455,0.0,0.574,0.0296,-7.1739999999999995,148.096
rock,0.737,0.46299999999999997,0.00817,0.447,0.324,0.0792,-7.827999999999999,123.881
rock,0.563,0.5920000000000001,0.209,5.08e-05,0.136,0.0276,-4.571000000000001,104.016
rock,0.44799999999999995,0.784,0.106,0.00010800000000000001,0.23600000000000002,0.0627,-3.6860000000000004,136.245
rock,0.763,0.807,0.0714,0.28,0.5589999999999999,0.035,-3.714,103.038
rock,0.446,0.9520000000000001,0.0901,0.0857,0.624,0.0523,-5.321000000000001,125.303
rock,0.575,0.67,0.34299999999999997,4.95e-06,0.74,0.0318,-10.39,139.191
rock,0.64,0.743,0.26899999999999996,0.0,0.361,0.0379,-4.08,122.035
rock,0.74,0.516,0.0183,0.0,0.698,0.0507,-6.233,139.918
rock,0.672,0.655,0.0362,0.0,0.556,0.0311,-5.021,134.945
rock,0.55,0.8240000000000001,0.44799999999999995,0.000127,0.777,0.0334,-5.9879999999999995,114.512
rock,0.635,0.675,0.0801,0.0,0.273,0.0263,-3.445,113.946
rock,0.743,0.47,0.0936,3.15e-05,0.89,0.028999999999999998,-13.154000000000002,116.12200000000001
rock,0.56,0.9359999999999999,0.00847,0.0,0.371,0.0439,-5.835,112.96
rock,0.7759999999999999,0.78,0.0622,0.0,0.6659999999999999,0.128,-4.374,124.949
rock,0.35600000000000004,0.924,0.00101,0.0,0.23199999999999998,0.0808,-3.74,148.017
rock,0.605,0.8220000000000001,0.00671,0.134,0.28800000000000003,0.0438,-4.833,167.997
rock,0.828,0.49200000000000005,0.0644,0.00428,0.789,0.0276,-9.744,120.15100000000001
rock,0.392,0.402,0.28800000000000003,0.0,0.228,0.0536,-9.961,143.88299999999998
rock,0.6709999999999999,0.373,0.257,7.950000000000001e-05,0.732,0.0323,-18.064,92.71700000000001
rock,0.733,0.71,0.145,0.115,0.965,0.0292,-5.849,127.975
rock,0.7340000000000001,0.637,0.0462,2.2899999999999998e-05,0.648,0.141,-5.6770000000000005,169.977
rock,0.596,0.605,0.18100000000000002,0.000331,0.8859999999999999,0.0255,-12.145,97.79799999999999
rock,0.612,0.807,0.0495,0.0177,0.39799999999999996,0.0336,-2.81,124.053
rock,0.557,0.54,0.0339,0.00248,0.39399999999999996,0.0347,-10.484000000000002,129.171
rock,0.579,0.904,0.193,0.0,0.6809999999999999,0.0618,-2.7289999999999996,82.014
rock,0.563,0.865,0.0472,0.00019099999999999998,0.601,0.16,-5.277,156.27100000000002
rock,0.484,0.731,0.431,0.0,0.51,0.0379,-6.694,101.654
rock,0.64,0.6629999999999999,0.201,0.00806,0.6629999999999999,0.0374,-7.516,132.77
rock,0.414,0.161,0.883,0.000223,0.423,0.0318,-22.32,159.375
rock,0.579,0.508,0.0057399999999999994,0.0004940000000000001,0.609,0.027000000000000003,-9.484,147.125
rock,0.38799999999999996,0.33799999999999997,0.652,3.72e-06,0.47700000000000004,0.0328,-10.054,177.78400000000002
rock,0.505,0.71,0.19,0.00025,0.428,0.0321,-3.015,89.93799999999999
rock,0.623,0.449,0.212,0.0,0.5720000000000001,0.0253,-13.333,84.383
rock,0.491,0.583,0.182,0.0,0.907,0.0376,-10.964,150.572
rock,0.31,0.7,0.011000000000000001,0.00965,0.763,0.047,-5.678,188.386
rock,0.545,0.67,0.009000000000000001,0.000822,0.48100000000000004,0.0496,-8.81,151.553
rock,0.601,0.532,0.43200000000000005,6.25e-06,0.341,0.0286,-9.119,136.571
rock,0.596,0.44799999999999995,0.365,5.3e-06,0.7959999999999999,0.0396,-9.616,83.29299999999999
rock,0.611,0.797,0.00543,0.00137,0.518,0.0533,-7.627000000000001,120.041
rock,0.501,0.889,0.000147,0.0114,0.257,0.0364,-5.175,133.519
rock,0.414,0.428,0.382,0.00024300000000000002,0.282,0.0278,-11.097000000000001,145.075
rock,0.645,0.713,0.00835,0.0,0.5660000000000001,0.0393,-5.355,74.98899999999999
rock,0.732,0.396,0.0841,3.5799999999999996e-05,0.5479999999999999,0.0286,-9.347999999999999,90.024
rock,0.5,0.748,0.127,0.0,0.514,0.0363,-9.072000000000001,118.852
rock,0.377,0.682,0.0008939999999999999,0.00217,0.28800000000000003,0.0299,-8.039,108.736
rock,0.852,0.698,0.00839,1.03e-06,0.324,0.0629,-7.206,113.039
rock,0.7040000000000001,0.611,0.217,0.0,0.22,0.0409,-6.112,100.0
rock,0.573,0.9129999999999999,0.0591,0.00173,0.42200000000000004,0.132,-4.793,115.715
rock,0.537,0.66,0.455,0.0,0.574,0.0296,-7.1739999999999995,148.096
rock,0.737,0.46299999999999997,0.00817,0.447,0.324,0.0792,-7.827999999999999,123.881
rock,0.563,0.5920000000000001,0.209,5.08e-05,0.136,0.0276,-4.571000000000001,104.016
rock,0.44799999999999995,0.784,0.106,0.00010800000000000001,0.23600000000000002,0.0627,-3.6860000000000004,136.245
rock,0.763,0.807,0.0714,0.28,0.5589999999999999,0.035,-3.714,103.038
rock,0.446,0.9520000000000001,0.0901,0.0857,0.624,0.0523,-5.321000000000001,125.303
rock,0.575,0.67,0.34299999999999997,4.95e-06,0.74,0.0318,-10.39,139.191
rock,0.64,0.743,0.26899999999999996,0.0,0.361,0.0379,-4.08,122.035
rock,0.74,0.516,0.0183,0.0,0.698,0.0507,-6.233,139.918
rock,0.672,0.655,0.0362,0.0,0.556,0.0311,-5.021,134.945
rock,0.55,0.8240000000000001,0.44799999999999995,0.000127,0.777,0.0334,-5.9879999999999995,114.512
rock,0.635,0.675,0.0801,0.0,0.273,0.0263,-3.445,113.946
rock,0.743,0.47,0.0936,3.15e-05,0.89,0.028999999999999998,-13.154000000000002,116.12200000000001
rock,0.586,0.941,0.0167,0.000776,0.831,0.0375,-5.138999999999999,135.44799999999998
rock,0.7759999999999999,0.78,0.0622,0.0,0.6659999999999999,0.128,-4.374,124.949
rock,0.35600000000000004,0.924,0.00101,0.0,0.23199999999999998,0.0808,-3.74,148.017
rock,0.605,0.8220000000000001,0.00671,0.134,0.28800000000000003,0.0438,-4.833,167.997
rock,0.828,0.49200000000000005,0.0644,0.00428,0.789,0.0276,-9.744,120.15100000000001
rock,0.392,0.402,0.28800000000000003,0.0,0.228,0.0536,-9.961,143.88299999999998
rock,0.6709999999999999,0.373,0.257,7.950000000000001e-05,0.732,0.0323,-18.064,92.71700000000001
rock,0.733,0.71,0.145,0.115,0.965,0.0292,-5.849,127.975
rock,0.7340000000000001,0.637,0.0462,2.2899999999999998e-05,0.648,0.141,-5.6770000000000005,169.977
rock,0.596,0.605,0.18100000000000002,0.000331,0.8859999999999999,0.0255,-12.145,97.79799999999999
rock,0.612,0.807,0.0495,0.0177,0.39799999999999996,0.0336,-2.81,124.053
rock,0.557,0.54,0.0339,0.00248,0.39399999999999996,0.0347,-10.484000000000002,129.171
rock,0.579,0.904,0.193,0.0,0.6809999999999999,0.0618,-2.7289999999999996,82.014
rock,0.563,0.865,0.0472,0.00019099999999999998,0.601,0.16,-5.277,156.27100000000002
rock,0.484,0.731,0.431,0.0,0.51,0.0379,-6.694,101.654
rock,0.64,0.6629999999999999,0.201,0.00806,0.6629999999999999,0.0374,-7.516,132.77
rock,0.414,0.161,0.883,0.000223,0.423,0.0318,-22.32,159.375
rock,0.579,0.508,0.0057399999999999994,0.0004940000000000001,0.609,0.027000000000000003,-9.484,147.125
rock,0.38799999999999996,0.33799999999999997,0.652,3.72e-06,0.47700000000000004,0.0328,-10.054,177.78400000000002
rock,0.505,0.71,0.19,0.00025,0.428,0.0321,-3.015,89.93799999999999
rock,0.623,0.449,0.212,0.0,0.5720000000000001,0.0253,-13.333,84.383
rock,0.491,0.583,0.182,0.0,0.907,0.0376,-10.964,150.572
rock,0.31,0.7,0.011000000000000001,0.00965,0.763,0.047,-5.678,188.386
rock,0.545,0.67,0.009000000000000001,0.000822,0.48100000000000004,0.0496,-8.81,151.553
rock,0.601,0.532,0.43200000000000005,6.25e-06,0.341,0.0286,-9.119,136.571
rock,0.596,0.44799999999999995,0.365,5.3e-06,0.7959999999999999,0.0396,-9.616,83.29299999999999
rock,0.611,0.797,0.00543,0.00137,0.518,0.0533,-7.627000000000001,120.041
rock,0.501,0.889,0.000147,0.0114,0.257,0.0364,-5.175,133.519
rock,0.414,0.428,0.382,0.00024300000000000002,0.282,0.0278,-11.097000000000001,145.075
rock,0.645,0.713,0.00835,0.0,0.5660000000000001,0.0393,-5.355,74.98899999999999
rock,0.732,0.396,0.0841,3.5799999999999996e-05,0.5479999999999999,0.0286,-9.347999999999999,90.024
rock,0.5,0.748,0.127,0.0,0.514,0.0363,-9.072000000000001,118.852
rock,0.377,0.682,0.0008939999999999999,0.00217,0.28800000000000003,0.0299,-8.039,108.736
rock,0.852,0.698,0.00839,1.03e-06,0.324,0.0629,-7.206,113.039
rock,0.7040000000000001,0.611,0.217,0.0,0.22,0.0409,-6.112,100.0
rock,0.573,0.9129999999999999,0.0591,0.00173,0.42200000000000004,0.132,-4.793,115.715
rock,0.537,0.66,0.455,0.0,0.574,0.0296,-7.1739999999999995,148.096
rock,0.737,0.46299999999999997,0.00817,0.447,0.324,0.0792,-7.827999999999999,123.881
rock,0.563,0.5920000000000001,0.209,5.08e-05,0.136,0.0276,-4.571000000000001,104.016
rock,0.44799999999999995,0.784,0.106,0.00010800000000000001,0.23600000000000002,0.0627,-3.6860000000000004,136.245
rock,0.763,0.807,0.0714,0.28,0.5589999999999999,0.035,-3.714,103.038
rock,0.446,0.9520000000000001,0.0901,0.0857,0.624,0.0523,-5.321000000000001,125.303
rock,0.575,0.67,0.34299999999999997,4.95e-06,0.74,0.0318,-10.39,139.191
rock,0.64,0.743,0.26899999999999996,0.0,0.361,0.0379,-4.08,122.035
rock,0.74,0.516,0.0183,0.0,0.698,0.0507,-6.233,139.918
rock,0.672,0.655,0.0362,0.0,0.556,0.0311,-5.021,134.945
rock,0.55,0.8240000000000001,0.44799999999999995,0.000127,0.777,0.0334,-5.9879999999999995,114.512
rock,0.635,0.675,0.0801,0.0,0.273,0.0263,-3.445,113.946
rock,0.743,0.47,0.0936,3.15e-05,0.89,0.028999999999999998,-13.154000000000002,116.12200000000001
rock,0.586,0.941,0.0167,0.000776,0.831,0.0375,-5.138999999999999,135.44799999999998
rock,0.5589999999999999,0.345,0.0576,0.000105,0.45799999999999996,0.0459,-13.495999999999999,84.581
